FID,t_nr,vejnavn,beskrivelse,husnummer,taellested_type,kode_type,spolestation_type,ogc_fid,wkb_geometry
taellestationer.1041,9788,SUPERKILEN,,,Øvrige,100.0,,1041,POINT (12.54382185158975 55.7036610083265)
taellestationer.1042,9789,SLUSEHOLMEN,,,Øvrige,100.0,,1042,POINT (12.547332502611766 55.645139598274724)
taellestationer.1043,9790,HØRSHOLMGADE - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1043,POINT (12.544229948499842 55.690308171691484)
taellestationer.1044,9791,KRONBORGGADE - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1044,POINT (12.545212640676692 55.69116487721189)
taellestationer.1045,9792,JÆGERSBORGGADE - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1045,POINT (12.545678402310585 55.69156041585222)
taellestationer.1046,9793,BJELKES ALLÉ - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1046,POINT (12.546152886921043 55.69197407382948)
taellestationer.1047,9794,HUSUMGADE - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1047,POINT (12.546715039386372 55.692481055066104)
taellestationer.1048,9795,JULIUS BLOMS GADE - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1048,POINT (12.547338435455378 55.69302380779274)
taellestationer.1049,9796,BISPEENGBUEN - BORUPS ALLÉ FRAKØRSEL,Krydstælling,X,Øvrige,101.0,,1049,POINT (12.527031673350468 55.696315356902225)
taellestationer.1050,9797,BISPEENGBUEN - ÅGADE - BORUPS PLADS,Krydstælling,X,Øvrige,101.0,,1050,POINT (12.537772448925644 55.690525494318265)
taellestationer.1051,9798,BORUPS ALLÉ - HULGÅRDSVEJ,Krydstælling,X,Øvrige,101.0,,1051,POINT (12.519514507806562 55.7020010035149)
taellestationer.1052,9799,BORUPS ALLÉ - BISPEENGBUEN - HILLERØDGADE,Krydstælling,X,Øvrige,101.0,,1052,POINT (12.525830634781462 55.69674301945788)
taellestationer.1053,9800,HARESKOVVEJ - PILESVINGET,Krydstælling,X,Øvrige,101.0,,1053,POINT (12.504643284617922 55.71270913632505)
taellestationer.1054,9801,JAGTVEJ - LERSØ PARKALLÉ,Krydstælling,X,Øvrige,101.0,,1054,POINT (12.558849732397038 55.70318536342915)
taellestationer.1055,9802,JAGTVEJ - SERRIDSLEVSVEJ - VENNEMINDEVEJ,Krydstælling,X,Øvrige,101.0,,1055,POINT (12.57034994100413 55.707772149698975)
taellestationer.1056,9803,JAGTVEJ - TAGENSVEJ,Krydstælling,X,Øvrige,101.0,,1056,POINT (12.554338298105645 55.69914146190323)
taellestationer.1057,9804,KRONPRINSESSE SOFIES VEJ - BISPEENGBUEN,Krydstælling,X,Øvrige,101.0,,1057,POINT (12.536843522600918 55.691090300692)
taellestationer.1058,9805,ÅBOULEVARD - H.C. ØRSTEDSVEJ - GRIFFENFELDSGADE,Krydstælling,X,Øvrige,101.0,,1058,POINT (12.55176537462045 55.685037669351985)
taellestationer.1059,9806,ÅBOULEVARD - BLÅGÅRDSGADE,Krydstælling,X,Øvrige,101.0,,1059,POINT (12.55516300263631 55.68418607756988)
taellestationer.1060,9807,ÅBOULEVARD - JULIUS THOMSENS GADE,Krydstælling,X,Øvrige,101.0,,1060,POINT (12.555499336021967 55.68377840600182)
taellestationer.1061,9808,ÅBOULEVARD - RANTZAUSGADE - WORSAAESVEJ,Krydstælling,X,Øvrige,101.0,,1061,POINT (12.553467907793241 55.68497472247401)
taellestationer.1062,9809,ÅGADE - ÅBOULEVARD - BÜLOWSVEJ,Krydstælling,X,Øvrige,101.0,,1062,POINT (12.547242893843102 55.685311665424344)
taellestationer.1063,9810,MIMERSGADE - JAGTVEJ,Krydstælling,X,Øvrige,101.0,,1063,POINT (12.552603620263461 55.697658417961804)
taellestationer.1064,9811,BORUPS ALLÉ,"Rampe, fra Frederikssundsvej",280,Øvrige,100.0,,1064,POINT (12.516335725410451 55.705576283251474)
taellestationer.1065,9812,BORUPS ALLÉ,"Rampe, mod Utterslevvej",280,Øvrige,100.0,,1065,POINT (12.51717068695482 55.70569800272118)
taellestationer.1066,9813,HARESKOVVEJ,rampe FRA Utterslevvej,15,Øvrige,100.0,,1066,POINT (12.51437683482954 55.707563061828886)
taellestationer.1067,9814,HARESKOVVEJ,rampe MOD Utterslevvej,45,Øvrige,100.0,,1067,POINT (12.509694434939961 55.7088926443283)
taellestationer.1068,9815,MELLEMVANGEN,Nord for Hareskovvej,20,Øvrige,100.0,,1068,POINT (12.5100275311833 55.70977125906443)
taellestationer.1069,9816,MELLEMVANGEN,Syd for Hareskovvej,32,Øvrige,100.0,,1069,POINT (12.507982369054766 55.70893987731099)
taellestationer.1070,9817,MÅGEVEJ,Nord for Borups Allé,20,Øvrige,100.0,,1070,POINT (12.523758173405515 55.69866365910706)
taellestationer.1071,9818,MÅGEVEJ SYD,Syd for Borups Allé,20,Øvrige,100.0,,1071,POINT (12.523357674086288 55.698313946365126)
taellestationer.1072,9819,UTTERSLEV MOSE - OMRÅDE 1,OPHOLD,,Øvrige,100.0,,1072,POINT (12.519442930952634 55.724309775152435)
taellestationer.1073,9820,UTTERSLEV MOSE - OMRÅDE 2,OPHOLD,,Øvrige,100.0,,1073,POINT (12.52886893150985 55.72002926908902)
taellestationer.1074,9821,UTTERSLEV MOSE - OMRÅDE 3,OPHOLD,,Øvrige,100.0,,1074,POINT (12.51488368092599 55.71796751968387)
taellestationer.1075,9822,UTTERSLEV MOSE - OMRÅDE 4,OPHOLD,,Øvrige,100.0,,1075,POINT (12.502031341965214 55.712414232127934)
taellestationer.1076,9823,UTTERSLEV MOSE - OMRÅDE 5,OPHOLD,,Øvrige,100.0,,1076,POINT (12.498179622308045 55.71266432155103)
taellestationer.1077,9824,UTTERSLEV MOSE - OMRÅDE 6,OPHOLD,,Øvrige,100.0,,1077,POINT (12.48783190497675 55.70969228322458)
taellestationer.1078,9825,STENGADE-BAGGESENSGADE,Krydstælling,X,Øvrige,101.0,,1078,POINT (12.556224677732196 55.68826674521916)
taellestationer.1079,9826,WESSELSGADE-BAGGESENSGADE,Krydstælling,X,Øvrige,101.0,,1079,POINT (12.560999072225178 55.68658822638878)
taellestationer.1080,9827,GRIFFENFELDSGADE,nord for Rantzausgade,43,Øvrige,100.0,,1080,POINT (12.552388065365745 55.68578442417835)
taellestationer.1081,9828,STENGADE,Ved Folkets Park,,Øvrige,100.0,,1081,POINT (12.55536315376714 55.68742895704865)
taellestationer.1082,9829,HAMMERSHØIS KAJ (VED CIRKELBROEN),FOD,,Øvrige,100.0,,1082,POINT (12.584137365641423 55.67250169187513)
taellestationer.1083,9833,STALDGADE,FOD,32,Øvrige,100.0,,1083,POINT (12.56284931685846 55.668051738674926)
taellestationer.1084,9834,HERNINGGADE,trafik,26,Øvrige,100.0,,1084,POINT (12.588114301201784 55.70838789384593)
taellestationer.1085,9835,HOLSTEBROGADE,trafik,12,Øvrige,100.0,,1085,POINT (12.58690691563187 55.70931725075642)
taellestationer.1086,9836,MIDDELFARTGADE,trafik,2,Øvrige,100.0,,1086,POINT (12.5854386439371 55.709093785909396)
taellestationer.1087,9837,VARDEGADE,trafik,14,Øvrige,100.0,,1087,POINT (12.586764810179474 55.70769752657834)
taellestationer.1088,9838,VARDEGADE,trafik,24,Øvrige,100.0,,1088,POINT (12.586082909571058 55.709071304064594)
taellestationer.1089,9839,HANS KNUDSENS PLADS,KRYDS,X,Øvrige,101.0,,1089,POINT (12.55968729264034 55.71308091918314)
taellestationer.1090,9840,VORDINGBORGGADE_KALKBRÆNDERIHAVNSGADE,KRYDS,X,Øvrige,101.0,,1090,POINT (12.589821238686069 55.70911223334743)
taellestationer.1091,9841,LYNGBYVEJ-SEJRØGADE - HARALDSGADE,KRYDS,X,Øvrige,101.0,,1091,POINT (12.561004124425928 55.70994743456259)
taellestationer.1092,9842,NØRRE ALLÉ-ØSTER ALLÉ,KRYDS,X,Øvrige,101.0,,1092,POINT (12.562790041547453 55.70552846718325)
taellestationer.1093,9843,STRANDVEJEN-STRANDØRE,KRYDS,X,Øvrige,101.0,,1093,POINT (12.577346104016323 55.72166786229278)
taellestationer.1094,9844,CARL JACOBSENS VEJ,Ved Kløverbladsgade,14,Øvrige,100.0,,1094,POINT (12.51905680909146 55.65324338426862)
taellestationer.1095,9845,CARL JACOBSENS VEJ,Ved Trekronergade,-,Øvrige,100.0,,1095,POINT (12.520578421862568 55.653004844512566)
taellestationer.1096,9846,HEDEGAARDSVEJ,V.f. Amager Strandvej,,Øvrige,100.0,,1096,POINT (12.641848254131945 55.64617265683952)
taellestationer.1097,9847,OEHLENSCHLÆGERGADE,Mellem Istedgade og Matthæusgade,,Øvrige,100.0,,1097,POINT (12.549958526669231 55.66881594724649)
