database_id,TS,VEJNAVN,ÅR,DATO,KATEGORI,SUM ANTAL,ÅDT,HDT
6074,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2018,2018-05-31,CYKLER + KNALLERTER I ALT,2173,2200.0,2700.0
6222,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2019,2019-05-23,A+B: KØRETØJER I ALT,13536,15800.0,17700.0
6222,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2019,2019-05-23,CYKLER + KNALLERTER I ALT,2174,2200.0,2700.0
6343,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2020,2020-08-19,A+B: KØRETØJER I ALT,13031,15200.0,17100.0
6343,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2020,2020-08-19,CYKLER + KNALLERTER I ALT,2430,2500.0,3000.0
6442,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2021,2021-06-02,A+B: KØRETØJER I ALT,13759,16100.0,18000.0
6442,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2021,2021-06-02,CYKLER + KNALLERTER I ALT,2186,2300.0,2700.0
6583,18,GRØNDALS PARKVEJ nord for Peter Bangs Vej,2022,2022-05-05,A+B: KØRETØJER I ALT,13705,16000.0,18000.0
6583,18,GRØNDALS PARKVEJ nord for Peter Bangs Vej,2022,2022-05-05,CYKLER + KNALLERTER I ALT,2206,2300.0,2700.0
5475,19,GYLDENLØVESGADE ud for Søerne ,2013,2013-09-26,A+B: KØRETØJER I ALT,44105,51600.0,57800.0
5475,19,GYLDENLØVESGADE ud for Søerne ,2013,2013-09-26,CYKLER + KNALLERTER I ALT,25358,26100.0,30900.0
5751,19,GYLDENLØVESGADE ud for søerne ,2015,2015-09-22,A+B: KØRETØJER I ALT,43694,51100.0,57200.0
5751,19,GYLDENLØVESGADE ud for søerne ,2015,2015-09-22,CYKLER + KNALLERTER I ALT,26614,27400.0,32500.0
5836,19,GYLDENLØVESGADE ud for søerne,2016,2016-09-21,A+B: KØRETØJER I ALT,42159,49300.0,55200.0
5836,19,GYLDENLØVESGADE ud for søerne,2016,2016-09-21,CYKLER + KNALLERTER I ALT,26601,27400.0,32500.0
5962,19,GYLDENLØVESGADE ud for søerne,2017,2017-09-21,A+B: KØRETØJER I ALT,43737,51200.0,57300.0
5962,19,GYLDENLØVESGADE ud for søerne,2017,2017-09-21,CYKLER + KNALLERTER I ALT,24929,25700.0,30400.0
6076,19,GYLDENLØVESGADE ud for søerne,2018,2018-09-05,A+B: KØRETØJER I ALT,41033,48000.0,53800.0
6076,19,GYLDENLØVESGADE ud for søerne,2018,2018-09-05,CYKLER + KNALLERTER I ALT,28125,29000.0,34300.0
6225,19,GYLDENLØVESGADE ud for søerne,2019,2019-09-25,A+B: KØRETØJER I ALT,41952,49100.0,55000.0
6225,19,GYLDENLØVESGADE ud for søerne,2019,2019-09-25,CYKLER + KNALLERTER I ALT,25035,25800.0,30500.0
6346,19,GYLDENLØVESGADE ud for søerne,2020,2020-09-02,A+B: KØRETØJER I ALT,41118,48100.0,53900.0
6346,19,GYLDENLØVESGADE ud for søerne,2020,2020-09-02,CYKLER + KNALLERTER I ALT,27616,28400.0,33700.0
6445,19,GYLDENLØVESGADE ud for søerne,2021,2021-09-28,A+B: KØRETØJER I ALT,40585,47500.0,53200.0
6445,19,GYLDENLØVESGADE ud for søerne,2021,2021-09-28,CYKLER + KNALLERTER I ALT,23533,24200.0,28700.0
6586,19,GYLDENLØVESGADE ud for søerne,2022,2022-09-07,A+B: KØRETØJER I ALT,39917,46700.0,52300.0
6586,19,GYLDENLØVESGADE ud for søerne,2022,2022-09-07,CYKLER + KNALLERTER I ALT,24305,25000.0,29700.0
6737,19,GYLDENLØVESGADE ud for søerne,2023,2023-09-05,A+B: KØRETØJER I ALT,39083,45700.0,51200.0
6737,19,GYLDENLØVESGADE ud for søerne,2023,2023-09-05,CYKLER + KNALLERTER I ALT,27000,27800.0,32900.0
5497,20,Hareskovvej (Hillerødmotorvejen) n.f. Ruten ,2013,2013-06-04,A+B: KØRETØJER I ALT,42323,49500.0,55400.0
5497,20,Hareskovvej (Hillerødmotorvejen) n.f. Ruten ,2013,2013-06-04,CYKLER + KNALLERTER I ALT,3628,3700.0,4400.0
5640,20,HARESKOVVEJ nordvest for Ruten (Hillerødmotorvejen) ,2014,2014-06-19,A+B: KØRETØJER I ALT,45747,53500.0,59900.0
5640,20,HARESKOVVEJ nordvest for Ruten (Hillerødmotorvejen) ,2014,2014-06-19,CYKLER + KNALLERTER I ALT,2985,3100.0,3600.0
5779,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen) ,2015,2015-04-21,A+B: KØRETØJER I ALT,43973,51400.0,57600.0
5779,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen) ,2015,2015-04-21,CYKLER + KNALLERTER I ALT,4940,5100.0,6000.0
5837,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2016,2016-04-26,A+B: KØRETØJER I ALT,44588,52200.0,58400.0
5837,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2016,2016-04-26,CYKLER + KNALLERTER I ALT,2211,2300.0,2700.0
5963,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2017,2017-11-09,A+B: KØRETØJER I ALT,48563,56800.0,63600.0
5963,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2017,2017-11-09,CYKLER + KNALLERTER I ALT,3280,3400.0,4000.0
6079,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2018,2018-06-12,A+B: KØRETØJER I ALT,50811,59400.0,66600.0
6079,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2018,2018-06-12,CYKLER + KNALLERTER I ALT,5494,5700.0,6700.0
6227,20,HARESKOVVEJ nv.f. Mosesvinget (Hillerødmotorvejen),2019,2019-05-15,A+B: KØRETØJER I ALT,52047,60900.0,68200.0
6227,20,HARESKOVVEJ nv.f. Mosesvinget (Hillerødmotorvejen),2019,2019-05-15,CYKLER + KNALLERTER I ALT,5317,5500.0,6500.0
6348,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2020,2020-08-25,A+B: KØRETØJER I ALT,51254,60000.0,67100.0
6348,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2020,2020-08-25,CYKLER + KNALLERTER I ALT,6137,6300.0,7500.0
6446,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2021,2021-06-08,A+B: KØRETØJER I ALT,49633,58100.0,65000.0
6446,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2021,2021-06-08,CYKLER + KNALLERTER I ALT,5191,5300.0,6300.0
6589,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2022,2022-06-01,A+B: KØRETØJER I ALT,47495,55600.0,62200.0
6589,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2022,2022-06-01,CYKLER + KNALLERTER I ALT,4865,5000.0,5900.0
6739,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2023,2023-05-23,A+B: KØRETØJER I ALT,46852,54800.0,61400.0
6739,20,HARESKOVVEJ nv.f. Ruten (Hillerødmotorvejen),2023,2023-05-23,CYKLER + KNALLERTER I ALT,3612,3700.0,4400.0
5492,24,Jyllingevej v.f. Tudskærvej ,2013,2013-05-29,A+B: KØRETØJER I ALT,24754,29000.0,32400.0
5492,24,Jyllingevej v.f. Tudskærvej ,2013,2013-05-29,CYKLER + KNALLERTER I ALT,1525,1600.0,1900.0
5633,24,JYLLINGEVEJ 125 vest for Tudskærvej ,2014,2014-05-08,A+B: KØRETØJER I ALT,25490,29800.0,33400.0
5633,24,JYLLINGEVEJ 125 vest for Tudskærvej ,2014,2014-05-08,CYKLER + KNALLERTER I ALT,1666,1700.0,2000.0
5775,24,JYLLINGEVEJ 125 v.f. Tudskærvej ,2015,2015-04-28,A+B: KØRETØJER I ALT,25828,30200.0,33800.0
5775,24,JYLLINGEVEJ 125 v.f. Tudskærvej ,2015,2015-04-28,CYKLER + KNALLERTER I ALT,1863,1900.0,2300.0
5841,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2016,2016-05-10,A+B: KØRETØJER I ALT,27119,31700.0,35500.0
5841,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2016,2016-05-10,CYKLER + KNALLERTER I ALT,2125,2200.0,2600.0
5967,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2017,2017-05-04,A+B: KØRETØJER I ALT,28045,32800.0,36700.0
5967,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2017,2017-05-04,CYKLER + KNALLERTER I ALT,1749,1800.0,2100.0
6086,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2018,2018-05-29,A+B: KØRETØJER I ALT,28982,33900.0,38000.0
6086,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2018,2018-05-29,CYKLER + KNALLERTER I ALT,2210,2300.0,2700.0
6234,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2019,2019-05-09,A+B: KØRETØJER I ALT,29514,34500.0,38700.0
6234,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2019,2019-05-09,CYKLER + KNALLERTER I ALT,1547,1600.0,1900.0
6351,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2020,2020-08-19,A+B: KØRETØJER I ALT,27699,32400.0,36300.0
6351,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2020,2020-08-19,CYKLER + KNALLERTER I ALT,2010,2100.0,2500.0
6449,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2021,2021-06-02,A+B: KØRETØJER I ALT,27281,31900.0,35700.0
6449,24,JYLLINGEVEJ 125 v.f. Tudskærvej,2021,2021-06-02,CYKLER + KNALLERTER I ALT,1699,1700.0,2100.0
6592,24,JYLLINGEVEJ 125 vest for Tudskærvej,2022,2022-05-11,A+B: KØRETØJER I ALT,28690,33600.0,37600.0
6592,24,JYLLINGEVEJ 125 vest for Tudskærvej,2022,2022-05-11,CYKLER + KNALLERTER I ALT,1641,1700.0,2000.0
6744,24,JYLLINGEVEJ 125 vest for Tudskærvej,2023,2023-05-16,A+B: KØRETØJER I ALT,23708,27700.0,31100.0
